Sr. No,Name of NPO,"Registration No,District (State)",Address,Sectors
15,ABUGATI FOUNDATION,"U88900JH2025NPL025041
RANCHI (Jharkhand)","Bagichatoli, Parmarthnagar,Tupudana,Hatia ,Ranchi, Namkum, RANCHI (Jharkhand) - 834003","Agriculture, Children, Education & Literacy, Food Processing, Skill Development, Tribal Affairs, Vocational Training, Women's Development & Empowerment"
16,ACFC ANTI CRIME AND ANTI CORRUPTION FORCE COUNCIL,"U85300JH2021NPL016536
RANCHI (Jharkhand)","OFFICE NO 9, 10, KRISHNA TOWER, GARI KHANA, CART SARAY ROAD, NEAR RAM MANDIR RANCHI 834001, RANCHI, RANCHI (Jharkhand) - 834001",--
17,ACIC IIT (ISM) FOUNDATION,"U73100JH2020NPL015566
DHANBAD (Jharkhand)","ACIC IIT (ISM) FOUNDATION, i2H BUILDING, 4th FLOOR, INDIAN INSTITUTE OF TECHNOLOGY (ISM) ,DHANBAD 826004 , , DHANBAD, DHANBAD (Jharkhand) - 826004",--
18,ADGULSA WELFARE FOUNDATION,"U88900JH2024NPL023488
RANCHI (Jharkhand)","Pancham Nagar, Dipatoli, Pundag, Ranchi, 834004, Jharkhand, 834004, RANCHI, RANCHI (Jharkhand) - 834004",--
19,ADIVASI SANSKRITI FOUNDATION,"U85300JH2021INPL017256
RANCHI (Jharkhand)","KELGAON, RANCHI, JHARKHAND, RANCHI, RANCHI (Jharkhand) - 835217",--
20,ADVANCED SCIENTIFIC AND MATHEMATICAL DESIGN FOUNDATION,"U73200JH2021NPL017549
HAZARIBAGH (Jharkhand)","C/O KAMAL NAYAN SINGH, SHIVPURI CHOWK, OKNI2, HAZARIBAGH, JHARKHAND, HAZARIBAGH, HAZARIBAGH (Jharkhand) - 825301",--
21,AFSARA LIFE CARE FOUNDATION,"U85490JH2025NPL025020
RANCHI (Jharkhand)","C/O NAYYER AZAM NR HOTLIP, JAGATPURAM COLONY, Kanke Road, Ranchi, Ranchi- 834008, Jharkhand, Kanke, RANCHI (Jharkhand) - 834008","Health & Family Welfare, Skill Development"
22,Agadhbodh Foundation,"014407
RANCHI (Jharkhand)","FLAT NO.1D, SHALIGRAM BAGH APARTMENT, ARGORA, KATHAL MORE ROAD, NEW PUNDAG, RANCHI., RANCHI, RANCHI (Jharkhand) - 834001",--
23,AGROVET RESEARCH AND DEVELOPMENT FOUNDATION,"U75000JH2024NPL023686
EAST SINGHBUM (Jharkhand)","112A,Yuvraj Enclave, Dimna Road, Mango, Jamshedpur, EAST SINGHBUM (Jharkhand) - 831012",--
24,AIRAVATA TEMPLE AND HERITAGE FOUNDATION,"U94910JH2023NPL020814
BOKARO (Jharkhand)","C/O KULDEEP PRAJAPATI, HAZARI MORE, GOMIABOKARO DIST, JHARKHAND , PIN NO. 829128, BOKARO, BOKARO (Jharkhand) - 829128",--
25,AJMERA FOUNDATION,"U85300JH2021NPL016053
HAZARIBAGH (Jharkhand)","AJMERA FOUNDATION 118, GOLA ROAD, BODDAM BAZAR, NEAR ORIENTAL BANK OF COMMERCE, HAZARIBAG, Hazaribagh, Jharkhand, India, 825301, Hazaribag, HAZARIBAGH (Jharkhand) - 825301","Art & Culture, Education & Literacy, Health & Family Welfare, Skill Development"
26,AKRS WELFARE FOUNDATION,"U88900JH2024NPL023405
SAHEBGANJ (Jharkhand)","C/OSUPRIYA KUMARI,BARA,PANCHGARH,SAHEBGANJ,Sahibganj,Sahibganj ,Sahibganj, Jharkhand,816109, Sahibganj, SAHEBGANJ (Jharkhand) - 816109",--
27,AKSHARVARN FOUNDATION,"U88900JH2024NPL022822
KHUNTI (Jharkhand)","LT HARIHAR BHAGAT, 75, VILL-PANKNA, PS-RANIA, AMBAPAKHNA, TORPA, RANCHI, JHARKHAND 835227, KHUNTI, KHUNTI (Jharkhand) - 835227",--
28,AKSHAY SONA SAMADHAN FOUNDATION,"U85500JH2024NPL022760
RANCHI (Jharkhand)","AKSHAY SONA SAMADHAN FOUNDATION PLOT NO 971, AT-MAHUWA, TOLI, PO PS NAMKUM, Namkum, Ranchi, Ranchi- 834010, Jharkhand, RANCHI, RANCHI (Jharkhand) - 834010",--
29,AKSHAY SUGANDHA BHUPATI FOUNDATION,"022631
EAST SINGHBUM (Jharkhand)","QR NO 170/2/4, GOVINDPUR JSR, Mango, Mango, East Singhbhum- 831012, Jharkhand, Mango, EAST SINGHBUM (Jharkhand) - 831012",--
30,AL GEBER FOUNDATION,"U88900JH2023NPL020819
RANCHI (Jharkhand)","c/o Mr. Guljar Hussain, NR.I.S.M. Gate, Pundag, Ashok Nagar, Ranchi, RANCHI (Jharkhand) - 834002",--
31,AL IQRA ACADEMY FOUNDATION,"022926
PALAMU (Jharkhand)","C/O: Anisha Khatun, Vill-Bhatko, Manika, Latehar- 822126, Jharkhand, Manika, PALAMU (Jharkhand) - 822126",--
32,AL-DISHA FOUNDATION,"U85500JH2023NPL020035
GODDA (Jharkhand)","Disha Public School Godda, 351, Rahmat Nagar, Asanbani , PostGodda, Dist. Godda Contract No. 9430318300, GODDA, GODDA (Jharkhand) - 814133",--
33,AL-HAFIZ EDUCATION AND TECHNOLOGY FOUNDATION,"U88900JH2023NPL020674
SAHEBGANJ (Jharkhand)","C/O MD SABBUL ANSARI,BARA TOFIR JIRWABARI OP BARA MADANSAHI SAHIBGANJ JHARKHAND INDIA 816109, SAHIBGANJ, SAHEBGANJ (Jharkhand) - 816109",--
34,AL-SIMAK FOUNDATION,"U85300JH2020NPL015160
RANCHI (Jharkhand)","2nd Floor, Rabiya Enclave, 481, Churi Tola, Block Road, Kanke, Ranchi, Jharkhand-834006., RANCHI, RANCHI (Jharkhand) - 834006",--
35,ALEX FOUNDATION,"U85300JH2022NPL019346
PAKUR (Jharkhand)","VillSamsera, Panchayat- Sonajori, Pakur, PAKUR (Jharkhand) - 816107",--
36,ALL JHARKHAND INDUS MINERAL'S FOUNDATION,"U96091JH2023NPL021481
RAMGARH (Jharkhand)","AT- CHHOTKI MURRUM, PATRATU BASTI, PO- RAMGARH, PS- RAMGARH, RAMGARH, RAMGARH (Jharkhand) - 829122",--
37,ALWAHHAB GLOBAL FOUNDATION,"U88900JH2025NPL024673
RANCHI (Jharkhand)","243/A NEW A.G. COLONY, KADRU ROAD, RANCHI, Doranda, Ranchi, Ranchi, Jharkhand, India, 834002, Burmu, RANCHI (Jharkhand) - 835205","Art & Culture, Education & Literacy, Health & Family Welfare, Human Rights, Information & Communication Technology, Religious, Rural Development & Poverty Alleviation, Science & Technology, Skill Development, Sports, Vocational Training, Women's Development & Empowerment"
38,AMARSAROJ FOUNDATION,"118753
EAST SINGHBUM (Jharkhand)","G.V.JAGANNATH PRAKASH S/O LATE G.P.R RAO,SAI COMPLEX,QTR.NO.1/1,KRISHNA APARTMENT. L.B.S.M ROAD,WEST KITADIH,P.S-PARSUDIH,JAMSHEDPUR,DIST-EAST SINGHBHUM PIN-831002, JHARKHAND, JAMSHEDPUR, EAST SINGHBUM (Jharkhand) - 831002",--
39,Amathyst foundation,"U85300JH2021NPL017583
SARAIKELA KHARSAWAN (Jharkhand)","GROUND FLOOR, DUNDLI BASTI, NEAR SHIV MANDIR, ADITYAPUR, JAMSHEDPUR, SERAIKELA, JHARKHAND- 831014, ADITYAPUR, SARAIKELA KHARSAWAN (Jharkhand) - 831014",--
40,AMBIENT SILICONE FOUNDATION,"U85300JH2021NPL017158
RANCHI (Jharkhand)","3B, 4th Floor, Block D, ASSS Apertment, Jora Talab, Bariatu, Ranchi, RANCHI (Jharkhand) - 834009",--
41,AMDHARALIFE FOUNDATIONS,"U86900JH2025NPL025009
BOKARO (Jharkhand)","Q.NO.-1037, 1C, SECTOR 1, BOKARO, Bokaro Steel City, Bokaro, Bokaro- 827001, Bermo, BOKARO (Jharkhand) - 827001","Education & Literacy, Rural Development & Poverty Alleviation"
42,AMRAPARA FOUNDATION,"U88100JH2024NPL02362
PAKUR (Jharkhand)","C/O SURENDRA KUMAR SAHA BELIYADANGA PAKUR PIN 816107, PAKUR, PAKUR (Jharkhand) - 816107",--
43,AMRTYU MICRO CARE FOUNDATION,"U85300JH2021NPL017498
DHANBAD (Jharkhand)","PLOT NO 384 SRI RAM NIWAS SHAKTI MARKET SHIV PURI BHULI NAGAR NEAR IDEA TOWER, DHANBAD, DHANBAD (Jharkhand) - 828104",--
44,ANAMIKARAJ FOUNDATION,"U80100JH2019NPL012796
RANCHI (Jharkhand)","Opp. Kajaria Galaxy, Ratu Road, Sukhdev Nagar, Pandra, Ranchi, Jharkhand- 834005, Ranchi, RANCHI (Jharkhand) - 834005",--
45,ANANT CANCER CARE FOUNDATION,"U72200JH2024NPL023103
DHANBAD (Jharkhand)","C/O RAJEEV RANJAN SINGH, NAWADIH, NR XAVER SCHOOL, B.POLYTECHNIC, DHANBAD, DHANBAD- 828130, JHARKHAND, DHANBAD, DHANBAD (Jharkhand) - 828130",--
46,Anay india Foundation,"U85300JH2022NPL018027
RANCHI (Jharkhand)","ANAY INDIA FOUNDATION C/o Prakash Sahu, Near Adarsh Nagar, KOK-2 (BAT), Ranchi, Ranchi, Jharkhand, India, 834009, Ranchi, RANCHI (Jharkhand) - 834009",--
47,ANGELINE PANKAJ TIRKEY WELFARE FOUNDATION,"U88900JH2025NPL024830
RANCHI (Jharkhand)","C/OASRITA KUJUR JORAR, NAMKUM PAHAN TOLI, Namkum, Ranchi, Ranchi Jharkhand-834010,, Namkum, RANCHI (Jharkhand) - 834010","Education & Literacy, Health & Family Welfare, Science & Technology, Skill Development, Vocational Training"
48,ANIMESH JANKALYAN FOUNDATION,"U85300JH2021NPL017308
EAST SINGHBUM (Jharkhand)","102 NEW PLANNING AREA THAKUR BARI ROAD SAKCHI JAMSHEDPUR, JAMSHEDPUR, EAST SINGHBUM (Jharkhand) - 831001",--
49,Anishka Red Badge of Courage Foundation,"U85300JH2021NPL017245
SARAIKELA KHARSAWAN (Jharkhand)","Ashiana Woodland, Ef10, Ebony Street, Pardih Mango, Jamshedpur, Jharkhand 832401, Jamshedpur, SARAIKELA KHARSAWAN (Jharkhand) - 832401",--
50,ANKUR SAVERA FOUNDATION,"U88900JH2023NPL021522
HAZARIBAGH (Jharkhand)","Satish Kumar S/OLakhan RamAT POSitagarhHazaribagJharkhand ,825301 , Hazaribagh, HAZARIBAGH (Jharkhand) - 825301",--
51,ANMOL SNEHAL FOUNDATION,"U80900JH2021NPL016084
RANCHI (Jharkhand)","CHUTTU NEEMTAND NEORI VIKAS SADAR RANCHI JHARKHAND PIN 835217, RANCHI, RANCHI (Jharkhand) - 835217",--
52,ANTRIKSH CARE FOUNDATION,"U88900JH2023NPL020828
DEOGHAR (Jharkhand)","C/o Sikar Mandal Sarasbad Deosang B.T Deoghar Deoghar Jharkhand-814114, Deoghar, DEOGHAR (Jharkhand) - 814114",--
53,ANUGAMI FOUNDATION,"U88900JH2025NPL023866
EAST SINGHBUM (Jharkhand)","H.NO-34 DHADIKA GOHALDANG, EAST SINGHBHUM, JHARKHAND, Gohaldangra, East Singhbhum, East Singhbhum-832302, Jharkhand, Chakulia, EAST SINGHBUM (Jharkhand) - 832302",--
54,Anuvansha Foundation,"U85190JH2021NPL017593
RANCHI (Jharkhand)","3K/55, Bariatu Housing Colony, Ranchi, RANCHI (Jharkhand) - 834009",--
55,ANVIKSA FOUNDATION,"U85300JH2022NPL017956
BOKARO (Jharkhand)","58/220 SHASHI TRIPATHI NIWAS, NR RELIANCE, PETROL PUMP, DEMUDIH CHAS, BOKARO, JHARKHAND, INDIA, 827013, Bokaro Steel City, BOKARO (Jharkhand) - 827013","Agriculture, Art & Culture, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Housing, Legal Awareness & Aid, Micro Small & Medium Enterprises, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Rural Development & Poverty Alleviation, Scientific & Industrial Research, Skill Development, Sports, Tribal Affairs, Vocational Training, Women's Development & Empowerment, Youth Affairs"
56,APARNSUKRIT SANSKAR EDUCATIONAL FOUNDATION,"U85499JH2024NPL023616
GIRIDIH (Jharkhand)","PL No. 45 GHUTIYA PESRA, NEAR DURGA MANDIR, Ghutia Pesra, Bagodar, Giridh- 825320, Jharkhand, Giridh, GIRIDIH (Jharkhand) - 825320",--
57,APEKSHA MICRO CARE ASSOCIATION,"020909
DHANBAD (Jharkhand)","VILL -GANDHI MELA PATH, Govindpur, Dhanbad, Jharkhand, India, 828109, Gobindpur, DHANBAD (Jharkhand) - 828109",Micro Finance (SHGs)
58,APEX MEDICAL SERVICES PROVIDER ASSOCIATION,"025249
HAZARIBAGH (Jharkhand)","At- Romi Post -Pelaval Pl, Dist- Hazaribagh, Pelawal, Katkamsandi, Hazaribag- 825319, Jharkhand, Katkamsandi, HAZARIBAGH (Jharkhand) - 825319",Health & Family Welfare
59,APTERIX SOCIOINNOLOPMENT FOUNDATION,"U85320JH2017NPL009957
RANCHI (Jharkhand)","HNo 134, South Office Para Doranda Ranchi, Ranchi, RANCHI (Jharkhand) - 834002",--
60,AQUASIS EDUCATION FOUNDATION,"U80904JH2017NPL010014
RANCHI (Jharkhand)","POKHARTOLI, HINOO, RANCHI, RANCHI (Jharkhand) - 802165",--
61,AR SOCIAL & WELFARE FOUNDATION,"025060
DEOGHAR (Jharkhand)","c/o ratneshwar kumar jha b166 2 nd floor chhitkarnibagh baijnathpur deoghar jharkhand india 814112, Deoghar, DEOGHAR (Jharkhand) - 814112","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Education & Literacy"
62,ARHAT WELFARE FOUNDATION,"U88100JH2024NPL022574
RANCHI (Jharkhand)","C/O SMT NEETA SINGH H.NO-192/C, PL NO-354/16, ASHOK NAGAR, RANCHI-834002, Ranchi, RANCHI (Jharkhand) - 834002",--
63,ARIPTA FOUNDATION,"U88900JH2025NPL023738
WEST SINGHBHUM (Jharkhand)","House No.25, Vill Potka Sokasai, Chakradharpur, West Singhbhum, Jharkhand - 833102, Chakradharpur, WEST SINGHBHUM (Jharkhand) - 833102",--
64,ARJUN KARDAYA FOUNDATION,"U88900JH2024NPL023418
RANCHI (Jharkhand)","HOUSE NO 46,JAP 2 ROAD,SAKET NAGAR,TATISILWAI,ANGARA,RANCHI,JHARKHAND PIN -835103, Ranchi, RANCHI (Jharkhand) - 835103",--
65,ARPANBHARATI CONSTRUCTION PRIVATE LIMITED,"023881
RANCHI (Jharkhand)","C/O BINOD RAY, GRAM-HETH BALALONG, Jojohatu, Ranchi, Tamar, Jharkhand, India, 835225, Tamar I, RANCHI (Jharkhand) - 835225","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
66,ARPIT SCHOOL OF SPORTS AND EDUCATION FOUNDATION,"019661
RAMGARH (Jharkhand)","ARPIT SCHOOL OF SPORTS AND EDUCATION FOUNDATION C/O KANKEBAR BASTI TYRE MORE KANKEBAR, PO GOSSA, RAMGARH, Chatra, Jharkhand, India, 829122, RAMGARH, RAMGARH (Jharkhand) - 829122",--
67,ARSHI ASSOCIATION FOR SOCIAL WELFARE,"U85320JH2020NPL015168.
RANCHI (Jharkhand)","LT. SM SENGUPTA FLAT NO1B ANIKET VATIKA APPARTMENT LALPUR RANCHI, RANCHI, RANCHI (Jharkhand) - 834001","Health & Family Welfare, Minority Issues, Panchayati Raj, Rural Development & Poverty Alleviation, Skill Development, Vocational Training, Youth Affairs"
68,ARVAT FOUNDATION,"U86909JH2024NPL022606
SARAIKELA KHARSAWAN (Jharkhand)","234/2/2, ROAD NO 5, ADITYAPUR 2, JAMSHEDPUR, SARAIKELA KHARSAWAN (Jharkhand) - 831013",--
69,ARVISION FOUNDATION,"022345
RANCHI (Jharkhand)","H.N 48,1ST FLOOR,BEHIND, SAMFORD HOSPITAL PS-SADAR, Kokar, Ranchi, Ranchi, Jharkhand, India, 834001, Ranchi, RANCHI (Jharkhand) - 834001",--
70,ARYAADEV SAMARPAN SEVA FOUNDATION,"U88900JH2025NPL024695
DHANBAD (Jharkhand)","C/O MINA DEVI, SINDUATAND, JHAGRAHI, BARORA, Dhanbad-Cum-Kenduadih-Cum-Jagata, DHANBAD (Jharkhand) - 828306","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
71,ARYABHATT TRAINING AND RESEARCH FOUNDATION,"U80211JH2013NPL001518
DHANBAD (Jharkhand)","DAIYA ,DHANBAD ,DIST DHANBAD, JHARKHAND, Dhanbad, DHANBAD (Jharkhand) - 826008",--
72,ASAHAY JAN SEVA FOUNDATION,"U85499JH2023NPL020488
DHANBAD (Jharkhand)","GYAN CHAND YADAV S/O FAGU, SHRI RAM NAGAR, CHANDMARI, DHANSAR, DHANBAD, DHANBAD, DHANBAD (Jharkhand) - 828106",--
73,ASARFI EDUCATIONAL FOUNDATION,"U85301JH2023NPL021689
DHANBAD (Jharkhand)","C/O DR. N.P.SINGH, KHATAL, ROAD, DHAIYA, I.S.M, Indian School Of Mines, Dhanbad, Dhanbad- 826004, Jharkhand, DHANBAD, DHANBAD (Jharkhand) - 826004",--
74,ASHA BLUE EYES FARMER PRODUCER COMPANY LIMITED,"U01400JH2021PTC016733
GODDA (Jharkhand)","C/O- ASHA BLUE EYES, PLOT NO- 72, OPPOSITE BANK OF INDIA, PATHARGAMA, GODDA, JHARKHAND, INDIA- 814147, PTHARGAMA, GODDA (Jharkhand) - 814147",--
75,ASHOKOJHA EDUCATIONAL AND SOCIAL WELFARE FOUNDATION,"U88900JH2025NPL024754
BOKARO (Jharkhand)","Dugda Bokaro Jharkhand, Bermo, BOKARO (Jharkhand) - 828404","Agriculture, Art & Culture, Drinking Water, Education & Literacy, Health & Family Welfare, Human Rights, Information & Communication Technology, Labour & Employment, Panchayati Raj, Religious, Rural Development & Poverty Alleviation, Skill Development, Sports, Vocational Training, Water Resources, Women's Development & Empowerment"
76,ASHTAK FOUNDATION,"U88900JH2023NPL021127
LATEHAR (Jharkhand)","402, BARWADIH PURANI BASTI, KHURA ROAD, BARWADIH, BARWADIH, LATEHAR822111, JHARKHAND, BARWADIH, LATEHAR (Jharkhand) - 822111",--
77,ASKIN FOUNDATION,"U88900JH2025NPL025038
CHATRA (Jharkhand)","VILL-PITIJI POST-PITIJI, PS-ITKHORI PITIJI, Itkhori, Itkhori, Jharkhand, India, 825408, Itkhori, CHATRA (Jharkhand) - 825408","Aged/Elderly, Differently Abled, Education & Literacy, Health & Family Welfare, Rural Development & Poverty Alleviation"
78,ASRA NAWA WELFARE FOUNDATION,"06-07-2023
DUMKA (Jharkhand)","SIULLBONA, JAYTARA, DUMKA, JHARKHAND, 814144, DUMKA, DUMKA (Jharkhand) - 814144",--
79,ASTRATECH PEOPLE & POWER ASSOCIATION,"U88900JH2024NPL032176
BOKARO (Jharkhand)","C/O CHANDRA SHEKHAR SWARNKAR,TANDMOHANPUR Jharkhand829301, Bermo, BOKARO (Jharkhand) - 829301",--
80,ATMANAM FOUNDATION,"U88100JH2024NPL023669
RANCHI (Jharkhand)","Ranchi PALS Centre, Kutchery Road, East Avenue, Ranchi GPO, Ranchi-834001, Ranchi, RANCHI (Jharkhand) - 834001",--
81,ATOSAMAJ SUSAR DOL FOUNDATION,"U88900JH2025NPL024763
DUMKA (Jharkhand)","C/O SULEMAN MURMU, RANGA DUMKA, RAANGAMISSION, AMRAPARA, PAKUR- 814111, JHARKHAND, Dumka, DUMKA (Jharkhand) - 814111","Agriculture, Art & Culture, Dalit Upliftment, Education & Literacy, Health & Family Welfare, Rural Development & Poverty Alleviation, Skill Development, Tribal Affairs, Vocational Training, Women's Development & Empowerment"
82,ATRIMA FOUNDATION,"022942
RAMGARH (Jharkhand)","Near Stephen Anne Kids School Ramgarh Cantt Ramgarh- 829122 Jharkhand, Ramgarh, RAMGARH (Jharkhand) - 829122",--
83,ATYPICAL ADVANTAGE FOUNDATION,"U85300JH2021NPL016563
EAST SINGHBUM (Jharkhand)","H.NO-40, ROAD NO. 15, C.H AREA, SONARI, Purba Singhbhum, JAMSHEDPUR, Jharkhand, India, 831001, JAMSHEDPUR, EAST SINGHBUM (Jharkhand) - 831001",--
84,AUTOBOY WELFARE FOUNDATION,"024128
HAZARIBAGH (Jharkhand)","C/O RANJIT SAW UPRAILY, MURGAON HAZARIBAGH, Bishungarh (Hazaribag), Bishungarh, Hazaribag, HAZARIBAG, HAZARIBAGH (Jharkhand) - 825312",--
85,AviralDhaani Foundation,"U85300JH2021NPL017357
DHANBAD (Jharkhand)","c/o S N Singh, Near Hanuman Mandir, New Bishunpur, PO: B.POlytechnic, Dhanbad, DHANBAD (Jharkhand) - 828130",--
86,AVN FOUNDATION,"U85306JH2025NPL025279
RAMGARH (Jharkhand)","C/O NARESH PD, TUIT, JAHRANA ROAD RANCHI ROAD, Bharechnagar, Ramgarh, Ramgarh- 829117, Jharkhand, Ramgarh, RAMGARH (Jharkhand) - 829117","Education & Literacy, Health & Family Welfare, Rural Development & Poverty Alleviation, Skill Development, Vocational Training, Women's Development & Empowerment"
