Sr. No,Name of NPO,"Registration No,District (State)",Address,Sectors
14,AADIYOGI WELFARE FOUNDATION,"U88900BR2025NPL074246
MUNGER (Bihar)","C/O AJAY KUMAR FARDA, HOUSE CHOTTIKELABARI, Munger, Munger, Munger- 811201, Bihar, Munger, MUNGER (Bihar) - 811201","Agriculture, Art & Culture, Children, Civic Issues, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Human Rights, Information & Communication Technology, Labour & Employment, Legal Awareness & Aid, Micro Small & Medium Enterprises, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Skill Development, Women's Development & Empowerment, Youth Affairs"
15,AAGAAZ INDIA FOUNDATION,"U93090BR2017NPL036187
PATNA (Bihar)","H NO 22 CDA COLONY NORTH SHASTRI NAGAR, , PATNA,BIHAR,INDIA- 800023., PATNA, PATNA (Bihar) - 800023",--
16,AALABHYA FOUNDATION,"U88100BR2024NPL068829
GAYA (Bihar)","C/O SRI NAWAL KISHOR SHARMA, NEW COLONY DELHA , GAYA, 823001, GAYA, GAYA (Bihar) - 823001",--
17,AANAND CARE FOUNDATION,"052073
PATNA (Bihar)","C/O SMT. RITA PANDIT, AJANTA CO-OPRATIVE RAJIV NAGAR, PATLIPUTRA, Patna, PATNA, Bihar, India, 800013, PATNA, PATNA (Bihar) - 800013",--
18,AAPORVA ASSOCIATION,"U85500BR2025NPL073250
AURANGABAD (Bihar)","C/O BHOLA SINGH,NABINAGAR, SANICHAR BAZARDI, Nabinagar, Nabinagar, Aurangabad(BH)- 824301, Bihar, NABINAGAR, AURANGABAD (Bihar) - 824301",--
19,AARAHI SKILLBLEND SERVICES COUNCIL,"U88900BR2024NPL069575
PATNA (Bihar)","Chaman Chak, Patna, Pahari, Sampatchak, Patna- 800007, Bihar, PATNA, PATNA (Bihar) - 800027",--
20,AARISHSEVA FOUNDATION,"U85500BR2025NPL076148
SIWAN (Bihar)","C/o RAGHAV JEE PANDEY, KAUSHAHARA, HAIBATPUR, ANDAR, SIWAN, BIHAR, INDIA, 841231, Andar, SIWAN (Bihar) - 841231","Aged/Elderly, Agriculture, Animal Welfare, Art & Culture, Children, Civic Issues, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Housing, Human Rights, Labour & Employment, Legal Awareness & Aid, Micro Small & Medium Enterprises, New & Renewable Energy, Nutrition, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Skill Development, Sports, Tourism, Urban Development & Poverty Alleviation, Water Resources, Women's Development & Empowerment, Youth Affairs"
21,AAROGYAARTH FOUNDATION,"U85100BR2022NPL057687
VAISHALI (Bihar)","BESIDE SBI BANK, HAJIPUR, VAISHALI (Bihar) - 844101",Education & Literacy
22,AAROGYE SWASTHA SURAKSHA COUNCIL,"U85300BR2021NPL052005
BEGUSARAI (Bihar)","C/o Sh. Yakub, Vill Sawat, Tola Sawat, Panch Sawant, Block Chhorahi, Begusarai, Begusarai, Bihar, India, 848202, begusarai, BEGUSARAI (Bihar) - 848202",--
23,AARTI WELFARE FOUNDATION,"120928
PATNA (Bihar)","MIGH 296 Kankarbagh Colony Near Shivaji Park Karbigahiya, Patna, Patna, Bihar, India, 800020, Patna, PATNA (Bihar) - 800020",--
24,AASHA-DARPAN FOUNDATION,"U85490BR2025NPL077199
SHEIKHPURA (Bihar)","VILL-BAZIDPUR, TOLA-BAZIDPUR PANCH- KARE, Sheikhpura, SHEIKHPURA (Bihar) - 811105","Aged/Elderly, Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Legal Awareness & Aid, Micro Small & Medium Enterprises, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Skill Development, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
25,AASHI KEDIA FOUNDATION,"068506
DARBHANGA (Bihar)","FLAT NO. 2F , 2ND FLOOR, HARI NARAYAN ENCLAVE,Darbhanga, Darbhanga, Darbhanga, Bihar, India, 846004, Darbhanga, DARBHANGA (Bihar) - 846004",--
26,AASHRAM YUVA FOUNDATION,"U85500BR2024NPL071690
PATNA (Bihar)","Patna Collegeat Gali Nala Rd M Toli RKA/12 Naya Tola Samptchak Patna, Patna, PATNA (Bihar) - 800004",--
27,AASHRIT CHARITABLE FOUNDATION,"U85500BR2025NPL075531
PATNA (Bihar)","C/O RAHUL RANJAN, S/O SURITH SINGH, ROAD NO 6, H.NO 88, INDRAPURI, Patliputra, Patna, Phulwari, Bihar Patna- 800013, Phulwari, PATNA (Bihar) - 800013","Education & Literacy, Health & Family Welfare"
28,AATALEK soch Organisation,"051496
PURBI CHAMPARAN (Bihar)","C/O SATYAM KUMAR House no 128 VILL PANCH PATAURA BLOCK MOTIHARI, East Champaran, BIHAR, Bihar, India, 845401, MOTIHARI, PURBI CHAMPARAN (Bihar) - 845401",--
29,AATM NIRBHAR JAGRUKTA FOUNDATION,"U85300BR2021NPL050833
PATNA (Bihar)","C/O SANJEEP KUMAR, PANCH-CHIKASI VILLAGE-CHIKSI, BLOCK-PALIGANJ PATNA BR 801110 IN, PATNA, PATNA (Bihar) - 801110",--
30,AATMA MUKTIDHAM FOUNDATION,"118814
PATNA (Bihar)","SRI RAM MARKET NEARRDTOWER NEW PUNAICHAK PATNA (BIHAR) PIN -800023., patna, PATNA (Bihar) - 800023",--
31,AATMASAMMAN FOUNDATION,"U85300BR2021NPL051550
PATNA (Bihar)","C/O DASAI DAS SHAHID BHAGAT SINGH PATH GAIGATH PATNA Patna BR 800007 IN, PATNA, PATNA (Bihar) - 800007",--
32,AATMAVISHWASH ASSOCIATION,"U88900BR2025NPL073891
SUPAUL (Bihar)","C/o Sita Devi, Jia Ram, Raghopur, Supaul, Bihar - 852111, Raghopur, SUPAUL (Bihar) - 852111","Children, Education & Literacy, Environment & Forests, Skill Development"
33,AAU FEDERATION,"U88900BR2023NPL066350
MADHUBANI (Bihar)","C/O AMIT KUMAR JHA, H/NO. 229, MAIN ROAD, OJHA TOL, VILL.P.O. AWARI, AWARI, MADHUBANI (Bihar) - 847308",--
34,AAYEE RPCS FOUNDATION,"U85499BR2025NPL074482
PASHCHIM CHAMPARAN (Bihar)","ASHA NAGAR, NEAR ASHA INTERNATIONAL SCHOOL, BETTIAH, DIST. WEST CHAMPARAN, BIHAR, Bettiah, PASHCHIM CHAMPARAN (Bihar) - 845438","Education & Literacy, Health & Family Welfare"
35,AAYSHRI FOUNDATION,"072363
ROHTAS (Bihar)","1st Floor Dr. Bachan Singh, Kochas, Rohtas, Kochas, Bihar, India- 821112, Kochas, ROHTAS (Bihar) - 821112",--
36,Aayu Health & education social foundation,"U85300BR2020NPL049849
PURBI CHAMPARAN (Bihar)","C/O-MUNNA PRASAD,SAH, BELABNWA ,WARD NO-23,EAST CHAMPARAN,MOTIHARI,BIHAR,PIN-845401, MOTIHARI, PURBI CHAMPARAN (Bihar) - 845401",--
37,AAYUSH HEALTH ASSOCIATION,"053996
GAYA (Bihar)","C/O RAJDEV YADAV, VIL- MAHMADPUR,, PO- ITWAN, PSMOHANPUR BODHGAYA, GAYA, Gaya, Bihar, India, 824231, MAHMADPUR, GAYA (Bihar) - 824231",--
38,ABDUL QUDDUS EDUCATIONAL FOUNDATION,"U80903BR2013NPL021341
PASHCHIM CHAMPARAN (Bihar)","VILL - SURYAPUR, P.O. - KURSIBARVA, DIST. - WEST CHAMPARAN 845307, Sikta, PASHCHIM CHAMPARAN (Bihar) - 845307",Education & Literacy
39,ABHIDEEP INFRA AND SERVICES PRIVATE LIMITED,"U45309BR2019PTC044720
PATNA (Bihar)","HOUSE NO.- 512, PANCHWATI COLONY, KHAGAUL, PATNA, BIHAR, INDIA, 800002, PATNA, PATNA (Bihar) - 800002",--
40,ABHIMANYU SOCIAL WELFARE CHARITABLE FOUNDATION,"123246
PATNA (Bihar)","C/O-VASANTI DEVI, BIGRAHPUR, KARBIGAHIYA, PATNA, PATNA (Bihar) - 800013",--
41,ABHIMUKTI SOCIAL WELFARE FOUNDATION,"U88900BR2023NPL066714
PURNIA (Bihar)","C/oShivam Kumar, Anandpuri Bhatta, Purnea, Purnea, Purnia- 854301, Bihar , Purnia, PURNIA (Bihar) - 854301",--
42,ABHISHA INDIA MICROCARE FOUNDATION,"U88900BR2024NPL071069
MUZAFFARPUR (Bihar)","WARD NO 29, BLOCK-MUSAHRI,, PANCH-MUZAFFARPUR, BIHAR 842001, Muzaffarpur, MUZAFFARPUR (Bihar) - 842001",--
43,ABI FPO FARMER PRODUCER COMPANY LIMITED,"U011BR2021PTC049894
KATIHAR (Bihar)","TEJA TOLA, KATIHAR, BIHAR 854105, KATIHAR, KATIHAR (Bihar) - 854105",--
44,ABRAM MANAGEMENT PRIVATE LIMITED,"U74900BR2015PTC025038
PATNA (Bihar)","ISHA NAGAR PHULWARI SHARIF, PATNA, PATNA (Bihar) - 801505",--
45,ABUNDANT LIFE FOUNDATION,"056122
PATNA (Bihar)","HOUSE NUMBER9, ROAD NUMBER 1, GANGHARA HOUSE, SHIVPURI, PATNA, PATNA (Bihar) - 800023",--
46,ACE KARATE ASSOCIATION OF BIHAR,"076467
PATNA (Bihar)","CO SYED NEHAL AHMAD A K ROAD MACHUATOLI Rajendra Nagar Patna Sampatchak Bihar India, Sampatchak, PATNA (Bihar) - 800016","Education & Literacy, Health & Family Welfare, Labour & Employment, Sports"
47,ACROSTIC FOUNDATION,"U88900BR2024NPL068331
BUXAR (Bihar)","Ward No-5, Nai Bazar, Buxar, Buxar, BUXAR (Bihar) - 802101",--
48,ACTION FOR HAPPINESS FOUNDATION,"U85300BR2022NPL061126
BUXAR (Bihar)","C/O Saroj Kumari, W/O Binod Kumar, Vill-Panrepatti, Tola-Padeyapatti, Buxar, Bihar, India, 802103, Buxar, BUXAR (Bihar) - 802103",--
49,ADARSH VIDHAN FOUNDATION,"070191
PATNA (Bihar)","V N Plaza, Ground Floor, Pgs More, Rajnagar, Danapur Bazar, Patna, Dinapur-cum-khagaul, Bihar, India, 801503, PATNA, PATNA (Bihar) - 801503",--
50,ADDLIFECARE FOUNDATION,"U85100BR2021NPL053325
DARBHANGA (Bihar)","C/O SMT MEELA DEVI,PANCH-MORO,VILL-MORO, TOLA-MORO, HANUMANNAGAR, DARBHANGA, Darshana, Bihar, India, 847106, DARBHANGA, DARBHANGA (Bihar) - 847106",--
51,ADHOGAMI SEVIKA FOUNDATION,"U96091BR2024NPL071268
MUZAFFARPUR (Bihar)","C/O DINESH KUMAR SINGH, MUSAHRI, KALYANI PUNCH, MUZAFFARPUR, 842001 BIHAR, MUZAFFARPUR, MUZAFFARPUR (Bihar) - 842001",--
52,ADI SHAKTI SOCIAL DEVELOPMENT FOUNDATION,"U88900BR2024NPL069092
PATNA (Bihar)","C/O SEEMA DEVI,PLOT NO 335,MUSTAFAPUR,DANAPUR ,KHAGAUL ROAD,DANAPUR,PATNA,BIHAR-801105, DANAPUR, PATNA (Bihar) - 801105",--
53,ADIKSH WELFARE FOUNDATION,"073186
PURBI CHAMPARAN (Bihar)","WARD NO. 19, AT RAMNAGAR, BEHIND POLICE STATION, RAMNAGAR (WEST CHAMPARAN), WEST CHAMPARAN, BETTIAH, BIHAR, INDIA,845106 , BETTIAH, PURBI CHAMPARAN (Bihar) - 845106",--
54,ADITI DEVELOPMENT INFORMATION TECHNOLOGY INDIA PRIVATE LIMITED,"U74900BR2012PTC019630
KATIHAR (Bihar)","C/O NITESH KR CHOUDHARY,S/O RAJESHWAR PD CHOUDHARY AT P.O A.G.BAZAR TOWN/VILL- KURSELA, PS - KURSELA KATIHAR Katihar BR 854101, KATIHAR, KATIHAR (Bihar) - 854101",--
55,ADITYA EDUSKILL FOUNDATION,"U85499BR2024NPL071484
SARAN (Bihar)","ADITYA EDUSKILL FOUNDATION C/O ABHIJIT SHARAN SINHA, MOUNA PAKARI, NEAR SBI BA, Chapra, Chapra, Saran- 841301, Bihar, Chhapra, SARAN (Bihar) - 841301",--
56,ADITYA SOCIAL CARE FOUNDATION,"U85500BR2024NPL072271
PURBI CHAMPARAN (Bihar)","C/O Ms. Atisha Shaurya, Chhatauni Bazar ward-18, Motihari, Motihari, East Champaran- 845401, Bihar, East CHAMPARAN, PURBI CHAMPARAN (Bihar) - 845401",--
57,ADPS GYANBHARTIYA FOUNDATION,"075933
PATNA (Bihar)","BHATHAPAR, RUPASPUR, KHAJPURA, PATNA, B.V. College, Phulwari, Patna- 800014, Bihar, Phulwari, PATNA (Bihar) - 800014","Agriculture, Animal Welfare, Art & Culture, Children, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, Skill Development"
58,ADRISHY APAAR FOUNDATION,"U85300BR2018NPL040036
DARBHANGA (Bihar)","C/O Shree Ram Kumar, Vill-Supaul,, Tola-Supaul, Panch-Supaul, Block- Biraul, DARBHANGA, DARBHANGA (Bihar) - 847203","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
59,ADVIA FOUNDATION,"U88900BR2025NPL074998
MUZAFFARPUR (Bihar)","KHATA 199 KHESRA 1302 SRI, RAMPURI COLNY BHAGWANPURA, Muzaffarpur, Muzaffarpur, Muzaffarpur, Bihar, India, 842001, Musahri, MUZAFFARPUR (Bihar) - 842001","Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Children, Civic Issues, Education & Literacy, Health & Family Welfare, Human Rights, Skill Development, Women's Development & Empowerment, Youth Affairs"
60,ADVIKA SUMAN FOUNDATION,"072750
PURBI CHAMPARAN (Bihar)","C/O ANJANI KR PATHAK, SHRI RAM NAGAR, W N 38, Bariarpur, Motihari,, East Champaran, PURBI CHAMPARAN (Bihar) - 845401",--
61,ADVOCATE OF JSD COUNCIL,"U85300BR2021NPL055390
SAHARSA (Bihar)","JSD 8 Near-Block Campus, Chandaur East, Saur Bazar, Saur Bazar, SAHARSA (Bihar) - 852221","Education & Literacy, Environment & Forests, Health & Family Welfare, Human Rights, Labour & Employment, Legal Awareness & Aid, Panchayati Raj, Right to Information & Advocacy, Skill Development, Vocational Training, Youth Affairs"
62,AERICON FOUNDATION,"U85499BR2024NPL070007
GOPALGANJ (Bihar)","90, NARKATIA, PANCHYAT DAHIBHATTA, GOPALGANJ, GOPALGANJ (Bihar) - 841428",--
63,AGAB BHARDWAJ HEALTH FOUNDATION,"U85300BR2021NPL051910
DARBHANGA (Bihar)","C/O SANJEEV MAHTO, VILL-SUPAUL TOLA-SUPAUL PANCH-SUPAUL, BLOCK-BIRAUL DARBHANGA Darbhanga BR 847203 IN, DARBHANGA, DARBHANGA (Bihar) - 847203",--
64,AGF FOUNDATION,"U88900BR2024NPL067979
MUZAFFARPUR (Bihar)","C/O: WASIM RAZA, MARIPUR, BEHIND CENTRAL BANK, MUZAFFARPUR, MUSHAHARI, MUZAFFARPUR- 842001, BIHAR, MUZAFFARPUR, MUZAFFARPUR (Bihar) - 842001",--
65,AGN SAMAJ VIKASH FORUM,"U88100BR2024NPL067240
MADHEPURA (Bihar)","Village Sarauni Kalan, Gwalpara Madhepura Bihariganj Bihar852101, Madhepura, MADHEPURA (Bihar) - 852101",--
66,AGRASANDHANI WELFARE FOUNDATION,"U88900BR2024NPL069906
PATNA (Bihar)","205, 2ND FLOOR, BLOCK A, CAPITAL TOWER, FRASER ROAD, PATNA- 800001, PATNA, PATNA (Bihar) - 800001",--
67,AHIBARAN FOUNDATION,"U85300BR2021NPL054094
GAYA (Bihar)","PLOT NO.148,PANCH-KAHUDAG,VILL-GAJRAGARH, TOLA-GAJRAGARH, BLOCK BARACHATTI, BARACHATTI, Gaya, Bihar, India, 824201, Barachatti, GAYA (Bihar) - 824201","Education & Literacy, Skill Development"
68,AHILYA GRAMIN LIVELIHOOD FOUNDATION,"U65100BR2020NPL045599
BUXAR (Bihar)","C/O MANOJ KUMAR SINGH,JAIL ROAD, CHARITRA BAN, URBAN BUXAR, BUXAR, BUXAR (Bihar) - 802101",Micro Finance (SHGs)
69,AHOVIRAWELFAREFOUNDATION,"U88900BR2024NPL069501
GAYA (Bihar)","C/O-MAHENDRA NARAYAN, MAULAGANJ, GAYA, GAYA-823001, BIHAR, GAYA, GAYA (Bihar) - 823001",--
70,AIC IIMBG INCUBATION CENTRE OF INNOVATION AND ENTREPRENEURSHIP,"143446
GAYA (Bihar)","INDIAN INSTITUTE OF MANAGEMENT, Uruvela, Prabandh Vihar, Bodh Gaya, Magadh University, Gaya, Bodh Gaya, Bihar, India, 824234, Bodh Gaya, GAYA (Bihar) - 824234","Education & Literacy, Science & Technology, Scientific & Industrial Research"
71,AIC- B V FOUNDATION,"U93090BR2019NPL041407
PATNA (Bihar)","1ST FLOOR BIHAR VIDYAPITH,SADAQAT ASHRAM PATNA, PATNA, PATNA (Bihar) - 800010",--
72,AIEW HEALTH AND EDUCATION RESEARCH COUNCIL,"U88900BR2024NPL072862
AURANGABAD (Bihar)","C/O HARI MOHAN SINGH,VILL RAFIGANJ(NP),TOLA-MAHADEV, Rafiganj, Rafiganj, Aurangabad(BH) Rafiganj 824125 Bihar, Rafiganj, AURANGABAD (Bihar) - 824125",--
73,AISDM FOUNDATION,"U85300BR2022NPL061056
MUZAFFARPUR (Bihar)","old motihari road opposite to hero electric bairiya muzaffarpur bihar, MUZAFFARPUR, MUZAFFARPUR (Bihar) - 843108",--
74,AJAY SHAKTI FOUNDATION,"U88900BR2023NPL063866
PATNA (Bihar)","F NO 201, KAILASH ENCLV, Professor Colony, L.B.S Nagar, Phulwari, Patna-800023,Bihar, Patna, PATNA (Bihar) - 800023",--
75,AKASH KASHYAP FOUNDATION,"U85500BR2025NPL076301
PATNA (Bihar)","94 Holding 13, Purani Bus, St, Near Tutan Appartment, Patna, Paliganj, Bihar, India, 801110, Paliganj, PATNA (Bihar) - 801110","Aged/Elderly, Education & Literacy, Environment & Forests, Health & Family Welfare, Rural Development & Poverty Alleviation"
76,AKHAND PRAM FOUNDATION,"U88100BR2025NPL074035
PATNA (Bihar)","C/O SRI GOPAL KRISHNA, PIPE FACTORY RD MN NGR BP, Rajendra Nagar, Sampatchak, PATNA (Bihar) - 800016","Aged/Elderly, Education & Literacy"
77,AKRAFTER THE ART COUNCIL,"U74110BR2022NPL059535
BEGUSARAI (Bihar)","VILLTEGHRA (NP) TOLA DANIYALPUR PANCH, Teghra, BEGUSARAI (Bihar) - 851133",--
78,AKRITI WELFARE FOUNDATION,"U85300BR2020NPL045493
PATNA (Bihar)","AKRITI WELFARE FOUNDATION C/O KANCHAN MALA, W/O SURENDRA KUMAR, PUNCHSHIL NAGAR, KHAGRI ROAD, DANAPUR, DIGHA, PATNA-800012, BIHAR, PATNA, PATNA (Bihar) - 800012",--
79,AKRKG RAM SEWAK PREET NAND FOUNDATION,"U85500BR2024NPL068997
GAYA (Bihar)","Ward No- 13, Sujata Bypass NR Mahabodhi, Meditation, Bodhgaya, Bihar -824231, Bodhgaya, GAYA (Bihar) - 824231",--
80,AKSHAT SOCIAL CARE FOUNDATION,"U85500BR2024NPL072612
PATNA (Bihar)","C/O SRI. ANAND RAJ MISHRA, CHAUHAN BHAWAN, KUMHRAR, Kumhrar, Sampatchak, Patna- 800026, Bihar, Patna, PATNA (Bihar) - 800026",--
81,AKSHAYAVAT FOUNDATION,"U85300BR2020NPL045045
MUZAFFARPUR (Bihar)","C/O- SUDHIR KUMAR, HOUSE NO.111 AT- DWARIKAPUR P.O- ITHA, PIN- 843121 P.S- SAKRA DIST- MUZAFFARPUR, BIHAR, MUZAFFARPUR, MUZAFFARPUR (Bihar) - 843121",--
82,AKSHI FOUNDATION,"U85300BR2022NPL060245
DARBHANGA (Bihar)","C/OMANOJ KUMAR MADARPUR DARBHANGA BIHAR INDIA- 846004. , MADARPUR DARBHANGA BIHAR, DARBHANGA (Bihar) - 846004",--
83,akshun educational development and research foundation,"U88900BR2025NPL075952
PATNA (Bihar)","202 MANJU SADAN, SHIVAJEE PATH YARPUR RAJPUTANA, PATNA-800001, BIHAR, Phulwari, PATNA (Bihar) - 800001","Children, Education & Literacy, Environment & Forests, Scientific & Industrial Research, Skill Development"
84,AKSKRK WELFARE FOUNDATION,"U88900BR2025NPL075001
MUZAFFARPUR (Bihar)","S/O DEVKARAN SAHNI, VILL BUDHNAGAR RADHA, MUSHARI, MUZAFFARPUR, Musahri, MUZAFFARPUR (Bihar) - 843119","Animal Welfare, Children, Disaster Management, Education & Literacy, Health & Family Welfare, Legal Awareness & Aid, Right to Information & Advocacy, Urban Development & Poverty Alleviation, Vocational Training, Women's Development & Empowerment"
85,AKULESHWER HELP FOUNDATION,"072365
NALANDA (Bihar)","WARD NO. 23, MANGLA STHAAN, BIHARSHARIF, NALANDA, BIHARSHARIF, NALANDA (Bihar) - 803101",--
86,AL ADAL FOUNDATION,"U85300BR2021NPL054139
KATIHAR (Bihar)","AL ADAL FOUNDATION H.NO-NW-025-0135, OFFICERS COLONY, NEAR- KESHRI STORE, MIRCHAIBARI, KATIHAR, BIHAR 854105, Katihar, KATIHAR (Bihar) - 854105","Disaster Management, Education & Literacy, Health & Family Welfare, Science & Technology, Women's Development & Empowerment"
87,AL MAJEED FOUNDATION,"U85300BR2022NPL055898
BANKA (Bihar)","MALLICK TOLA, BANKA, BANKA, BANKA (Bihar) - 813102",--
88,Al Meer Welfare Foundation,"U85300BR2020NPL49505
NALANDA (Bihar)","C/O MD JULKAR NAIN, BARI DARGAH, BIHARSHARIF-2, BIAHRSHARIF, BIHARSHARIF, NALANDA (Bihar) - 803101",--
89,AL TAYYAB EDUCATIONAL FOUNDATION,"077241
ARARIA (Bihar)","WARD NO. 02, KARHAIYA, Mirzapur, Araria, Araria, Bihar,India, 854312, Araria, ARARIA (Bihar) - 854312","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
90,AL-AAFIYA EDUCATIONAL & WELLFARE ASSOCIATION,"072126
ARARIA (Bihar)","C/o Mubarak, Ward No -03, Karankia,, Araria, ARARIA (Bihar) - 854312",--
91,AL-AMANAH EDUCATIONAL & WELFARE ORGANIZATION,"U85499BR2023NPL065042
PATNA (Bihar)","New milat colony sector 3 Apna gharana patna, Patna, PATNA (Bihar) - 801102",--
92,AL-AZAM WELFARE FOUNDATION,"U85300BR2021NPL051593
SUPAUL (Bihar)","C/O-JAINAD KHATUN, AT-VILL TOLA KAMATPUR,PANCH-DENBANDHE,BLOCK-BASANTPUR SUPAUL, BIHAR 854339, INDIA, SUPAUL, SUPAUL (Bihar) - 854338",--
